scorer,team,goals,goals_per_game_est,Expected_Games,Projected_Goals
Kylian Mbappé,Francia,20,1.0,5.7,5.7
Harry Kane,Inglaterra,15,0.75,5.5,4.2
Cristiano Ronaldo,Portugal,13,0.65,5.5,3.6
Bruno Fernandes,Portugal,12,0.6,5.5,3.3
Romelu Lukaku,Bélgica,14,0.7,4.5,3.1
Álvaro Morata,España,10,0.5,5.6,2.8
Cody Gakpo,Países Bajos,11,0.55,5.1,2.8
Lionel Messi,Argentina,9,0.45,5.8,2.6
Olivier Giroud,Francia,8,0.4,5.7,2.3
Erling Haaland,Noruega,12,0.6,3.9,2.3
Lautaro Martínez,Argentina,8,0.4,5.8,2.3
Bukayo Saka,Inglaterra,8,0.4,5.5,2.2
Andrej Kramarić,Croacia,9,0.45,4.6,2.1
Julián Álvarez,Argentina,7,0.35,5.8,2.0
Wout Weghorst,Países Bajos,7,0.35,5.1,1.8
